path;identifier_comprehensibility
survey_files/ActionSniffer.java/ActionSniffer;44
survey_files/ActionSniffer.java/actionToken;59
survey_files/ActionSniffer.java/alt;6
survey_files/ActionSniffer.java/attr;19
survey_files/ActionSniffer.java/errMgr;31
survey_files/ActionSniffer.java/examineAction;50
survey_files/ActionSniffer.java/expr;38
survey_files/ActionSniffer.java/g;0
survey_files/ActionSniffer.java/in;9
survey_files/ActionSniffer.java/node;33
survey_files/ActionSniffer.java/processNested;36
survey_files/ActionSniffer.java/qualifiedAttr;27
survey_files/ActionSniffer.java/r;0
survey_files/ActionSniffer.java/rhs;9
survey_files/ActionSniffer.java/rRefs;13
survey_files/ActionSniffer.java/setAttr;31
survey_files/ActionSniffer.java/setNonLocalAttr;34
survey_files/ActionSniffer.java/splitter;45
survey_files/ActionSniffer.java/trackRef;27
survey_files/ActionSniffer.java/x;0
survey_files/ActionSniffer.java/xRefs;13
survey_files/ActionSniffer.java/y;0
survey_files/DeviceLoginManager.java/createLoginRequest;83
survey_files/DeviceLoginManager.java/deviceAuthTargetUserId;61
survey_files/DeviceLoginManager.java/DeviceLoginManager;74
survey_files/DeviceLoginManager.java/deviceRedirectUri;73
survey_files/DeviceLoginManager.java/deviceTargetUserId;63
survey_files/DeviceLoginManager.java/getDeviceAuthTargetUserId;58
survey_files/DeviceLoginManager.java/getDeviceRedirectUri;75
survey_files/DeviceLoginManager.java/getInstance;63
survey_files/DeviceLoginManager.java/instance;44
survey_files/DeviceLoginManager.java/permissions;59
survey_files/DeviceLoginManager.java/redirectUri;63
survey_files/DeviceLoginManager.java/request;45
survey_files/DeviceLoginManager.java/setDeviceAuthTargetUserId;58
survey_files/DeviceLoginManager.java/setDeviceRedirectUri;75
survey_files/DeviceLoginManager.java/targetUserId;56
survey_files/DeviceLoginManager.java/uri;27
survey_files/UniqueNameNormalizer.java/_cl;3
survey_files/UniqueNameNormalizer.java/_class_name;48
survey_files/UniqueNameNormalizer.java/_class_names;48
survey_files/UniqueNameNormalizer.java/_classes;39
survey_files/UniqueNameNormalizer.java/_e1;0
survey_files/UniqueNameNormalizer.java/_e2;0
survey_files/UniqueNameNormalizer.java/_entity;25
survey_files/UniqueNameNormalizer.java/_field;28
survey_files/UniqueNameNormalizer.java/_field_name;44
survey_files/UniqueNameNormalizer.java/_name;42
survey_files/UniqueNameNormalizer.java/_string;16
survey_files/UniqueNameNormalizer.java/addConstructIds;33
survey_files/UniqueNameNormalizer.java/addStrings;38
survey_files/UniqueNameNormalizer.java/b;0
survey_files/UniqueNameNormalizer.java/c;2
survey_files/UniqueNameNormalizer.java/cid;5
survey_files/UniqueNameNormalizer.java/cl;3
survey_files/UniqueNameNormalizer.java/class_name;48
survey_files/UniqueNameNormalizer.java/classes;39
survey_files/UniqueNameNormalizer.java/classLoader;53
survey_files/UniqueNameNormalizer.java/classNames;45
survey_files/UniqueNameNormalizer.java/constant_name;38
survey_files/UniqueNameNormalizer.java/CONSTANT_PATTERN;50
survey_files/UniqueNameNormalizer.java/constant_value;38
survey_files/UniqueNameNormalizer.java/cua;2
survey_files/UniqueNameNormalizer.java/eq_after_norm;27
survey_files/UniqueNameNormalizer.java/eq_before_norm;30
survey_files/UniqueNameNormalizer.java/f;2
survey_files/UniqueNameNormalizer.java/fields;31
survey_files/UniqueNameNormalizer.java/findConstants;52
survey_files/UniqueNameNormalizer.java/getConstantValue;47
survey_files/UniqueNameNormalizer.java/getInstance;61
survey_files/UniqueNameNormalizer.java/haveEqualUniqueName;72
survey_files/UniqueNameNormalizer.java/i;0
survey_files/UniqueNameNormalizer.java/idx;22
survey_files/UniqueNameNormalizer.java/inlineConstants;33
survey_files/UniqueNameNormalizer.java/instance;50
survey_files/UniqueNameNormalizer.java/log;50
survey_files/UniqueNameNormalizer.java/m;0
survey_files/UniqueNameNormalizer.java/matcher;34
survey_files/UniqueNameNormalizer.java/matcher_string;34
survey_files/UniqueNameNormalizer.java/mod;14
survey_files/UniqueNameNormalizer.java/normalizeUniqueName;70
survey_files/UniqueNameNormalizer.java/p1;0
survey_files/UniqueNameNormalizer.java/p2;0
survey_files/UniqueNameNormalizer.java/pattern;31
survey_files/UniqueNameNormalizer.java/pattern_string;34
survey_files/UniqueNameNormalizer.java/qn;2
survey_files/UniqueNameNormalizer.java/regex;33
survey_files/UniqueNameNormalizer.java/regex_string;36
survey_files/UniqueNameNormalizer.java/removeLeadingClassName;69
survey_files/UniqueNameNormalizer.java/removeNumberCasts;52
survey_files/UniqueNameNormalizer.java/setClassLoader;56
survey_files/UniqueNameNormalizer.java/setClassUnderAnalysisName;63
survey_files/UniqueNameNormalizer.java/tmp;11
survey_files/UniqueNameNormalizer.java/tmp2;5
survey_files/UniqueNameNormalizer.java/toFix;20
survey_files/UniqueNameNormalizer.java/type;28
survey_files/UniqueNameNormalizer.java/UniqueNameNormalizer;63
survey_files/UniqueNameNormalizer.java/value;28